transaction_id,account_age_days,credit_score_band,kyc_level,avg_monthly_spend,merchant_risk_score,transaction_amount,payment_channel,device_type,is_international,ip_risk_score,txn_count_1h,txn_count_24h,failed_txn_count_24h,geo_distance_from_last_txn,amount_deviation_from_user_mean,is_fraud,post_auth_risk_score
305461,1417,4,2,7549.746993,0.05634,1783.564199,card,mobile,0,0.417366,1,2,0,54.226534,1531.905966,0,0.358507
341279,830,2,2,2766.322082,0.73696,7038.755549,card,mobile,0,0.272247,1,3,1,60.728405,6946.544813,0,0.065886
344364,1651,2,3,3988.151593,0.454618,663.057016,upi,mobile,0,0.446442,3,3,0,102.171038,530.118629,0,0.026225
84227,1207,1,2,5472.122178,0.417973,1665.509484,card,desktop,0,0.308703,2,3,0,10.146806,1483.105412,0,0.20194
187825,1926,5,2,1758.784635,0.535169,1524.306346,card,mobile,1,0.305401,2,1,1,18.328551,1465.680191,0,0.234395
143311,206,2,1,3258.427952,0.056784,2146.75812,card,mobile,0,0.22991,4,6,0,1.689322,2038.143855,0,0.036452
254365,1550,3,2,2368.917586,0.160601,1687.137383,card,mobile,0,0.467732,3,2,1,28.776999,1608.173464,0,0.375904
210210,814,1,2,5772.406109,0.71061,5313.772971,upi,mobile,0,0.294898,1,1,1,5.800039,5121.359434,0,0.012579
286122,790,2,2,4202.874712,0.3255,4647.948607,card,mobile,0,0.146659,0,4,0,47.539751,4507.852784,0,0.187901
122127,608,4,3,1936.823747,0.213293,1553.472755,upi,mobile,0,0.101594,2,5,0,37.432713,1488.911963,0,0.075964
84668,857,4,3,5862.991929,0.176069,4498.994601,wallet,mobile,0,0.441324,0,4,0,34.155509,4303.561537,0,0.004836
51515,1996,3,3,2391.19159,0.340215,737.682472,wallet,mobile,0,0.088275,0,1,0,30.281002,657.976086,0,0.291154
31733,790,2,3,4892.63225,0.331192,798.283665,card,desktop,0,0.097441,3,3,1,69.2218,635.195924,0,0.113228
211382,67,5,3,4462.539297,0.173895,6036.207274,wallet,mobile,0,0.070062,1,2,0,55.204546,5887.455964,0,0.234118
74220,1143,4,2,5304.611076,0.131958,2734.59225,bank_transfer,desktop,0,0.321907,1,2,0,35.479097,2557.771881,0,0.276243
55368,841,1,1,4925.340451,0.200282,4093.629576,card,mobile,0,0.178431,0,0,0,5.928268,3929.451561,0,0.290885
224701,1977,4,1,4411.526969,0.327783,353.592152,card,desktop,0,0.309123,2,5,0,7.792495,206.541253,1,0.902929
391251,714,4,3,2153.436077,0.233301,2428.689644,card,mobile,0,0.431914,0,2,0,89.211478,2356.908441,0,0.111455
303025,1447,5,2,3795.363781,0.310246,897.450789,card,mobile,0,0.121256,0,1,1,39.878275,770.938663,0,0.218204
200325,1411,2,3,6537.410813,0.042104,2955.020196,card,desktop,0,0.436596,3,5,1,38.322533,2737.106502,0,0.160687
252007,1866,2,2,2391.09675,0.230823,345.477398,card,mobile,1,0.311271,0,3,0,25.798178,265.774173,0,0.293577
105408,1152,5,2,5706.112879,0.270992,2405.557977,upi,mobile,1,0.473079,0,1,1,25.012627,2215.354215,0,0.219739
244468,249,5,1,3237.633914,0.135092,4111.374889,card,desktop,0,0.363259,1,1,0,22.425959,4003.453758,0,0.045319
294581,1220,3,1,6518.574744,0.171745,2387.373693,card,mobile,0,0.394368,0,3,1,29.433624,2170.087868,0,0.392041
15196,1371,1,3,7758.51845,0.148571,3692.197868,bank_transfer,mobile,0,0.406673,2,5,0,17.243373,3433.580586,0,0.254186
374929,400,2,3,1711.645449,0.517271,2948.367282,upi,mobile,0,0.20407,1,0,1,10.252378,2891.312434,0,0.059196
129101,1206,4,3,9493.686834,0.110848,2118.640206,bank_transfer,mobile,0,0.214161,2,2,0,2.624797,1802.183978,0,0.313691
