account_age_days,credit_score_band,kyc_level,avg_monthly_spend,merchant_risk_score,transaction_amount,payment_channel,device_type,is_international,ip_risk_score,txn_count_1h,txn_count_24h,failed_txn_count_24h,geo_distance_from_last_txn,amount_deviation_from_user_mean,post_auth_risk_score,is_fraud,predicted_label,fraud_probability,result
1305,5,3,4104.955108,0.085572,2450.47347,upi,mobile,0,0.084862,1,2,0,21.706645,2313.641633,0.310362,0,0,0.0,Correct
1705,2,3,3949.794452,0.159418,1691.000659,wallet,mobile,0,0.408713,3,4,1,3.694961,1559.340844,0.18057,0,0,0.0,Correct
927,5,2,3675.068944,0.423631,439.90314,upi,mobile,0,0.49611,1,4,0,1.961701,317.400842,0.328917,0,0,0.0002,Correct
826,3,2,4108.173411,0.265477,5367.948295,card,mobile,0,0.300475,1,1,0,34.069834,5231.009182,0.221395,0,0,0.0,Correct
762,2,1,1274.084812,0.52445,1098.206642,upi,mobile,0,0.255819,1,5,0,24.702348,1055.737149,0.172639,0,0,0.0,Correct
614,5,2,6099.634692,0.175385,3235.908029,card,mobile,1,0.128563,0,6,2,20.346299,3032.586873,0.337028,0,0,0.0005,Correct
1177,4,2,3195.891994,0.244625,217.09461,card,desktop,1,0.235423,0,4,0,27.159058,110.564877,0.340689,0,0,0.0004,Correct
1049,4,3,2988.430797,0.207446,589.295833,upi,mobile,0,0.256276,1,2,0,6.754384,489.681473,0.368488,0,0,0.0005,Correct
1855,3,2,5882.511169,0.0498,1234.158208,wallet,desktop,0,0.118756,0,9,0,29.45208,1038.074503,0.310759,0,0,0.0002,Correct
745,4,1,7322.699748,0.07276,4584.728388,bank_transfer,mobile,0,0.668671,1,2,0,48.772945,4340.638397,0.090553,0,0,0.0,Correct
1771,3,3,5993.270536,0.255051,2112.016543,upi,mobile,0,0.17672,0,1,0,29.662361,1912.240858,0.125156,0,0,0.0,Correct
1410,3,2,375.106231,0.077938,576.259093,card,mobile,0,0.372941,2,5,1,1.979827,563.755552,0.388885,0,0,0.0024,Correct
1858,3,1,2827.366918,0.269526,257.728011,card,mobile,0,0.170347,2,6,0,7.395846,163.482447,0.163313,0,0,0.0,Correct
771,5,1,3277.032528,0.582864,193.574989,wallet,desktop,0,0.373089,1,4,0,51.074121,84.340571,0.307899,0,0,0.0001,Correct
236,2,1,1351.611318,0.186407,2429.840942,card,mobile,1,0.42867,3,4,1,6.930342,2384.787232,0.094107,0,0,0.0,Correct
1900,5,1,3255.79605,0.175502,5354.484327,wallet,desktop,0,0.504685,3,3,0,29.065717,5245.957792,0.340582,0,0,0.0002,Correct
1256,1,2,1597.885414,0.266438,301.762495,wallet,mobile,0,0.264879,2,4,1,12.289994,248.499648,0.231052,0,0,0.0,Correct
1415,4,1,4673.884905,0.307735,342.32521,upi,desktop,0,0.082646,1,5,0,6.967959,186.529046,0.318428,0,0,0.0001,Correct
1830,3,3,3272.625567,0.753879,1855.377812,upi,desktop,0,0.150622,1,3,0,28.15005,1746.290293,0.309681,0,0,0.0001,Correct
968,4,2,10163.677745,0.038344,1318.822455,bank_transfer,mobile,0,0.654953,2,2,0,56.612161,980.033197,0.173564,0,0,0.0,Correct
498,2,2,5662.385905,0.102073,2762.782541,wallet,mobile,0,0.268552,1,2,0,32.325772,2574.036344,0.35955,0,0,0.0003,Correct
924,4,2,2937.808758,0.249847,2757.351857,card,mobile,0,0.633371,0,3,1,4.018922,2659.424898,0.100683,0,0,0.0,Correct
485,5,2,5722.154628,0.116882,3437.36466,wallet,mobile,0,0.402009,0,1,0,27.214154,3246.626173,0.327798,0,0,0.0001,Correct
489,2,1,5177.675186,0.028616,3985.218052,card,mobile,0,0.290861,1,7,0,12.248922,3812.628879,0.20774,0,0,0.0,Correct
1870,1,1,5766.253487,0.444783,1375.022403,wallet,mobile,0,0.425636,0,4,1,1.324627,1182.813954,0.033581,0,0,0.0,Correct
1703,2,1,12968.665299,0.355567,582.771837,card,mobile,0,0.25193,2,5,0,40.370567,150.482994,0.086219,0,0,0.0,Correct
1109,1,3,6182.60227,0.236904,1956.893117,wallet,mobile,0,0.294303,3,2,0,73.936817,1750.806375,0.26846,0,0,0.0,Correct
1077,2,3,1561.584959,0.283349,778.235983,card,tablet,0,0.487487,1,1,0,7.567214,726.183151,0.082462,0,0,0.0,Correct
1092,5,1,1588.015696,0.170164,1604.679691,wallet,desktop,0,0.4294,0,10,0,18.865934,1551.745835,0.3045,0,0,0.0002,Correct
571,5,1,3830.462311,0.228071,4419.777695,card,desktop,0,0.210483,0,3,1,10.181085,4292.095618,0.127606,0,0,0.0,Correct
1996,4,2,3601.486821,0.546444,3191.020421,card,mobile,0,0.146475,2,5,0,34.617841,3070.970861,0.017187,0,0,0.0,Correct
665,2,1,8573.492906,0.074713,2905.847106,card,desktop,1,0.095388,0,5,0,0.850451,2620.064009,0.288109,0,0,0.0,Correct
1552,4,3,804.837643,0.370396,3428.483865,upi,mobile,0,0.465026,1,5,1,58.950663,3401.655944,0.302109,0,0,0.0001,Correct
31,4,3,3038.755588,0.366683,1433.427084,wallet,mobile,0,0.249897,3,3,0,0.531968,1332.135231,0.173132,0,0,0.0,Correct
735,2,1,10065.73412,0.371524,3101.229199,card,desktop,0,0.428865,1,2,0,39.68732,2765.704729,0.153612,0,0,0.0,Correct
51,5,1,8396.807257,0.267704,4768.183459,upi,mobile,0,0.178961,2,0,0,5.32064,4488.289884,0.011224,0,0,0.0,Correct
1445,3,3,10388.178551,0.368222,2472.621858,card,mobile,0,0.29615,3,5,0,40.452014,2126.34924,0.044722,0,0,0.0,Correct
1504,1,1,3476.627495,0.060156,934.906003,card,mobile,0,0.394889,2,2,0,64.557325,819.018419,0.052984,0,0,0.0,Correct
1978,4,2,12450.935416,0.347077,3478.428628,wallet,mobile,0,0.18374,2,9,1,40.379425,3063.397448,0.020713,0,0,0.0,Correct
638,5,1,11013.468394,0.466094,1066.364822,upi,desktop,0,0.035968,2,4,2,51.706586,699.249209,0.230488,0,0,0.0,Correct
1533,4,1,6146.945574,0.112072,2780.89038,card,desktop,0,0.360407,2,2,0,82.745693,2575.992194,0.19635,0,0,0.0,Correct
1282,4,3,4135.047511,0.372546,3947.601312,upi,mobile,0,0.554735,0,5,0,25.317241,3809.766395,0.038118,0,0,0.0,Correct
196,5,1,5095.077473,0.160964,4186.34574,wallet,desktop,0,0.136189,2,5,1,20.263407,4016.509824,0.238687,0,0,0.0,Correct
1151,4,3,4536.571736,0.057721,665.397928,upi,mobile,0,0.176242,1,4,0,22.506744,514.17887,0.197525,0,0,0.0,Correct
515,3,3,1920.579773,0.059004,528.173939,card,mobile,0,0.397896,2,4,0,60.266206,464.154614,0.218022,0,0,0.0,Correct
1940,2,2,7009.76999,0.36933,5042.129563,card,mobile,0,0.222668,1,4,0,69.062925,4808.470563,0.386472,0,0,0.0014,Correct
1737,4,3,9405.804507,0.201552,2252.114218,wallet,mobile,0,0.030488,1,1,0,15.551524,1938.587401,0.101257,0,0,0.0,Correct
1007,2,2,3261.783361,0.290893,5954.873918,upi,mobile,0,0.382098,1,2,0,66.020879,5846.147806,0.03979,0,0,0.0,Correct
1410,2,3,5632.32626,0.292328,1698.284596,card,mobile,0,0.284743,0,3,0,42.904518,1510.540388,0.321969,0,0,0.0001,Correct
734,5,2,5123.26861,0.327738,263.808012,card,mobile,0,0.108348,2,3,1,4.211014,93.032392,0.037825,0,0,0.0,Correct
111,4,1,7037.152115,0.408918,166.545024,card,mobile,0,0.201655,0,2,0,33.818034,-68.026714,0.182379,0,0,0.0,Correct
249,2,2,9419.23463,0.38459,827.19915,card,mobile,0,0.205952,0,4,2,1.704198,513.224662,0.304723,0,0,0.0001,Correct
978,4,2,4271.922539,0.123818,3463.466089,card,mobile,0,0.265945,1,1,1,13.768279,3321.068671,0.291659,0,0,0.0,Correct
954,2,3,4534.974966,0.3082,2496.409641,upi,desktop,1,0.430962,4,4,0,27.366414,2345.243809,0.314065,0,0,0.0002,Correct
271,4,1,7873.989611,0.395036,667.912088,card,mobile,0,0.431448,1,5,0,49.944063,405.445768,0.162916,0,0,0.0,Correct
1597,3,1,4202.575625,0.280047,328.513523,bank_transfer,desktop,0,0.357569,1,1,0,78.803227,188.427669,0.204598,0,0,0.0,Correct
1706,1,2,794.175345,0.23161,1021.833784,card,desktop,0,0.190345,2,2,0,5.832474,995.361272,0.290871,0,0,0.0,Correct
82,1,3,2028.093665,0.270461,995.045627,card,mobile,0,0.37307,0,0,0,14.554312,927.442505,0.075574,0,0,0.0,Correct
744,1,1,4734.820085,0.131958,2201.083893,card,mobile,0,0.097623,0,3,0,54.266794,2043.256557,0.080629,0,0,0.0,Correct
1974,2,3,7854.613253,0.346011,6799.979161,card,mobile,0,0.31513,1,6,0,14.074081,6538.158719,0.166584,0,0,0.0,Correct
978,5,2,2118.418463,0.179977,8049.605411,wallet,desktop,0,0.343737,2,4,0,11.430862,7978.991463,0.099671,0,0,0.0,Correct
364,2,1,5606.519229,0.170446,1637.597415,wallet,mobile,0,0.326099,0,4,0,33.460821,1450.713441,0.194471,0,0,0.0,Correct
1485,3,2,649.330656,0.094281,1200.074548,card,tablet,0,0.095911,0,5,1,1.421565,1178.430193,0.113783,0,0,0.0,Correct
661,3,2,3316.799359,0.375536,2431.021691,card,desktop,0,0.147865,2,5,1,39.601404,2320.461712,0.20381,0,0,0.0,Correct
1139,2,2,7422.172351,0.147935,792.611661,upi,mobile,0,0.177873,1,2,0,51.970781,545.205916,0.358562,0,0,0.0003,Correct
850,5,2,1587.801293,0.166414,1341.231882,card,mobile,0,0.415767,2,2,0,33.112096,1288.305172,0.352852,0,0,0.0003,Correct
1005,4,2,1553.911575,0.053283,1742.324226,upi,desktop,0,0.332651,0,1,0,0.83747,1690.527174,0.376371,0,0,0.0004,Correct
1554,4,1,3348.531976,0.269924,270.188367,card,desktop,0,0.603612,1,4,0,4.953646,158.570635,0.087352,0,0,0.0,Correct
1198,2,3,6524.947819,0.523081,2986.783317,card,desktop,0,0.264325,1,3,0,24.027705,2769.285056,0.342036,0,0,0.0002,Correct
406,4,2,2519.770721,0.220323,1101.483379,card,mobile,0,0.154407,0,3,0,2.450926,1017.491022,0.371331,0,0,0.0006,Correct
1208,5,2,2284.04923,0.102543,2076.499383,upi,mobile,0,0.17157,2,5,0,2.141303,2000.364408,0.32528,0,0,0.0002,Correct
952,3,2,4584.982588,0.107578,853.917539,wallet,mobile,0,0.252767,1,4,0,15.455317,701.084786,0.057052,0,0,0.0,Correct
1903,2,3,1381.811811,0.176029,3310.133316,card,mobile,0,0.36665,0,3,0,8.590772,3264.072923,0.332233,0,0,0.0002,Correct
